Logging Start for Participant: 11, Environment: Environment 1, Strategy: Strategy 3 
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.19, 0.98), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.19, 0.98), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.19, 0.98), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.19, 0.98), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.19, 0.98), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
